Metric,Algorithm,Total SD,Within-Dataset SD,Between-Dataset SD,ICC,ICC 95% CI
Hypervolume,NSGA-II,0.019,0.012,0.015,0.671,"[0.116, 1.000]"
Hypervolume,NSGA-III,0.016,0.010,0.014,0.705,"[0.150, 1.000]"
Hypervolume,SPEA2,0.019,0.015,0.012,0.441,"[0.078, 0.700]"
Hypervolume,ε-MOEA,0.022,0.020,0.011,0.249,"[0.049, 0.471]"
Spacing,NSGA-II,0.367,0.309,0.230,0.393,"[0.198, 0.636]"
Spacing,NSGA-III,0.285,0.242,0.174,0.375,"[0.150, 0.610]"
Spacing,SPEA2,0.341,0.292,0.206,0.366,"[0.144, 0.657]"
Spacing,ε-MOEA,0.389,0.392,0.115,0.087,"[0.029, 0.181]"
Diversity,NSGA-II,0.542,0.334,0.461,0.721,"[0.444, 1.000]"
Diversity,NSGA-III,0.514,0.292,0.453,0.777,"[0.540, 1.000]"
Diversity,SPEA2,0.615,0.401,0.505,0.675,"[0.491, 1.000]"
Diversity,ε-MOEA,0.691,0.531,0.493,0.509,"[0.298, 0.871]"
Convergence,NSGA-II,0.386,0.204,0.349,0.820,"[0.588, 1.000]"
Convergence,NSGA-III,0.340,0.171,0.313,0.847,"[0.633, 1.000]"
Convergence,SPEA2,0.572,0.187,0.570,0.993,"[0.818, 1.000]"
Convergence,ε-MOEA,0.514,0.261,0.472,0.842,"[0.648, 1.000]"
Execution Time,NSGA-II,108.772,105.421,43.597,0.161,"[0.005, 0.340]"
Execution Time,NSGA-III,106.879,95.153,59.256,0.307,"[0.156, 1.000]"
Execution Time,SPEA2,33.686,33.454,11.360,0.114,"[0.050, 0.269]"
Execution Time,ε-MOEA,234.759,191.561,154.685,0.434,"[0.093, 0.749]"